id,trackable_id,trackable_uid,mac_address,ts,x,y,z,area_uid,project_uid,inactive
4425004,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-05 01:21:47.591,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425005,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-05 01:21:47.591,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425006,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-10-05 01:21:47.591,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425007,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-10-05 01:21:47.596,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425008,39,Qmu46ZqUTdexwDk0ykkTeg,E4956EA432D4,2025-10-05 01:21:47.596,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425009,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-05 01:21:48.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425010,39,Qmu46ZqUTdexwDk0ykkTeg,E4956EA432D4,2025-10-05 01:21:48.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425011,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-05 01:21:48.591,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425012,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-10-05 01:21:48.596,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425013,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-10-05 01:21:48.601,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425014,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-10-05 01:21:49.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425015,39,Qmu46ZqUTdexwDk0ykkTeg,E4956EA432D4,2025-10-05 01:21:49.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425016,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-10-05 01:21:49.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425017,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-05 01:21:49.591,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425018,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-05 01:21:49.596,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425019,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-10-05 01:21:50.576,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
4425020,39,Qmu46ZqUTdexwDk0ykkTeg,E4956EA432D4,2025-10-05 01:21:50.586,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
