id,trackable_id,trackable_uid,mac_address,ts,x,y,z,area_uid,project_uid,inactive
2365970,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-09-21 00:33:31.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365971,67,YxrKf3pVSlGsOWfCzpz4SQ,E4956EA43A0C,2025-09-21 00:33:31.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365972,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,2025-09-21 00:33:31.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365973,24,MwhSyfewTJSC9Dtm_jdP0g,E4956EA44063,2025-09-21 00:33:31.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365974,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:33:31.912,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365975,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-09-21 00:33:32.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365976,67,YxrKf3pVSlGsOWfCzpz4SQ,E4956EA43A0C,2025-09-21 00:33:32.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365977,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,2025-09-21 00:33:32.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365978,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:33:32.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365979,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:33:32.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365980,96,1Ip83YZdT8uObjdvlN1pWQ,E4956EA435B5,2025-09-21 00:33:32.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365981,24,MwhSyfewTJSC9Dtm_jdP0g,E4956EA44063,2025-09-21 00:33:32.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365982,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-09-21 00:33:33.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365983,67,YxrKf3pVSlGsOWfCzpz4SQ,E4956EA43A0C,2025-09-21 00:33:33.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365984,24,MwhSyfewTJSC9Dtm_jdP0g,E4956EA44063,2025-09-21 00:33:33.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365985,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:33:33.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365986,96,1Ip83YZdT8uObjdvlN1pWQ,E4956EA435B5,2025-09-21 00:33:33.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365987,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,2025-09-21 00:33:33.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365988,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:33:33.926,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365989,96,1Ip83YZdT8uObjdvlN1pWQ,E4956EA435B5,2025-09-21 00:33:34.881,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365990,67,YxrKf3pVSlGsOWfCzpz4SQ,E4956EA43A0C,2025-09-21 00:33:34.881,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365991,24,MwhSyfewTJSC9Dtm_jdP0g,E4956EA44063,2025-09-21 00:33:34.881,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365992,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:33:34.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365993,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-09-21 00:33:34.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365994,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:33:34.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365995,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,2025-09-21 00:33:34.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365996,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-09-21 00:33:35.877,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365997,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:33:35.881,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365998,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,2025-09-21 00:33:35.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2365999,96,1Ip83YZdT8uObjdvlN1pWQ,E4956EA435B5,2025-09-21 00:33:35.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366000,67,YxrKf3pVSlGsOWfCzpz4SQ,E4956EA43A0C,2025-09-21 00:33:35.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366001,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:33:35.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366002,24,MwhSyfewTJSC9Dtm_jdP0g,E4956EA44063,2025-09-21 00:33:35.887,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366003,16,as8XaUcWRhmiSZP9W_YBnQ,E4956EA445F0,2025-09-21 00:48:25.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366004,69,BvV82mScRw2Icg1Op_6frQ,E4956EA44459,2025-09-21 00:48:25.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366005,17,zNSFBbhNRwmIZzFEjIZJzA,E4956EA4379D,2025-09-21 00:48:25.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366006,14,xt28IyKmQKatD4lP5-xplQ,E4956EA435E0,2025-09-21 00:48:25.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366007,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:48:25.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366008,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:48:25.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366009,89,5x1_FjjrT02nAdaAcW3jLg,E4956EA4359E,2025-09-21 00:48:25.901,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366010,9,GjKBaDk3TnmPWx0mQzvRDg,E4956EA434DF,2025-09-21 00:48:25.916,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366011,89,5x1_FjjrT02nAdaAcW3jLg,E4956EA4359E,2025-09-21 00:48:26.901,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366012,69,BvV82mScRw2Icg1Op_6frQ,E4956EA44459,2025-09-21 00:48:26.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366013,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,2025-09-21 00:48:26.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366014,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-09-21 00:48:26.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366015,17,zNSFBbhNRwmIZzFEjIZJzA,E4956EA4379D,2025-09-21 00:48:26.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366016,9,GjKBaDk3TnmPWx0mQzvRDg,E4956EA434DF,2025-09-21 00:48:26.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366017,16,as8XaUcWRhmiSZP9W_YBnQ,E4956EA445F0,2025-09-21 00:48:26.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366018,14,xt28IyKmQKatD4lP5-xplQ,E4956EA435E0,2025-09-21 00:48:26.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366019,17,zNSFBbhNRwmIZzFEjIZJzA,E4956EA4379D,2025-09-21 00:48:27.872,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366020,14,xt28IyKmQKatD4lP5-xplQ,E4956EA435E0,2025-09-21 00:48:27.877,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366021,9,GjKBaDk3TnmPWx0mQzvRDg,E4956EA434DF,2025-09-21 00:48:27.881,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
2366022,16,as8XaUcWRhmiSZP9W_YBnQ,E4956EA445F0,2025-09-21 00:48:27.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,NULL
