id,trackable_id,trackable_uid,mac_address,ts,x,y,z,area_uid,project_uid,inactive
5395085,34,fiQpYVs_RYOv_HO45Hv7pw,E4956EA4419E,2025-10-11 04:52:42.471,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395086,22,l2jCQzmjRb216inU0ZomZQ,E4956EA43F6E,2025-10-11 04:52:42.496,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395087,18,yRKk9E4KQ_6kJF2xfycIaQ,E4956EA43F48,2025-10-11 04:52:42.496,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395088,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-10-11 04:52:42.497,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395089,32,shWcX_MhQ0yr-1uh18MR1A,E4956EA4335D,2025-10-11 04:52:42.497,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395090,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-11 04:52:42.501,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395091,89,5x1_FjjrT02nAdaAcW3jLg,E4956EA4359E,2025-10-11 04:52:42.516,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395092,72,HKkBnX_iT-aF9z8OWcLDKA,E4956EA43B24,2025-10-11 04:52:42.521,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395093,86,ZTFYlsH8RoqJ7EywwrL8lA,E4956EA445AA,2025-10-11 04:52:43.482,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395094,22,l2jCQzmjRb216inU0ZomZQ,E4956EA43F6E,2025-10-11 04:52:43.491,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395095,89,5x1_FjjrT02nAdaAcW3jLg,E4956EA4359E,2025-10-11 04:52:43.492,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395096,23,PFcRvYOKRcG2DvC8kH2xrQ,E4956EA43F66,2025-10-11 04:52:43.492,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395097,34,fiQpYVs_RYOv_HO45Hv7pw,E4956EA4419E,2025-10-11 04:52:43.492,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395098,72,HKkBnX_iT-aF9z8OWcLDKA,E4956EA43B24,2025-10-11 04:52:43.492,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395099,32,shWcX_MhQ0yr-1uh18MR1A,E4956EA4335D,2025-10-11 04:52:43.492,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395100,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-10-11 04:52:43.496,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395101,18,yRKk9E4KQ_6kJF2xfycIaQ,E4956EA43F48,2025-10-11 04:52:43.501,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395102,41,F9J9pJ2_RWaAnX-kQHMQZw,E4956EA43D22,2025-10-11 04:52:43.506,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395103,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-11 04:52:43.511,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395104,33,2jcjqdYkQN_-eEgRGMSS_w,E4956EA44708,2025-10-11 04:52:43.511,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5395105,13,SAdAkdceQ1OUGGmd6fUlGA,E4956EA43F85,2025-10-11 04:52:44.477,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
